timestamp,camera_id,junction_id,arm_id,label,hour_of_week,VPM,queue_depth,stopped_ratio,occupancy_pct,mean_bbox_area,max_bbox_area,approach_flow,time_sin,time_cos,is_peak_hour,mean_bbox_growth_rate
2026-03-13T11:21:00+00:00,JCT01_ARM_NORTH,JCT01,ARM_NORTH,NORMAL,107,33,0,0.0908,6.84,46084.5,940400.6,1.51,0.16935,-0.985556,0,214.3332
2026-03-13T11:22:00+00:00,JCT01_ARM_NORTH,JCT01,ARM_NORTH,NORMAL,107,41,0,0.083,4.84,40623.9,868846.0,1.31,0.165048,-0.986286,0,251.6911
2026-03-13T11:23:00+00:00,JCT01_ARM_NORTH,JCT01,ARM_NORTH,NORMAL,107,38,0,0.0838,7.51,44256.6,896999.7,1.5,0.160743,-0.986996,0,169.6667
2026-03-13T11:24:00+00:00,JCT01_ARM_NORTH,JCT01,ARM_NORTH,NORMAL,107,37,0,0.1755,8.19,45807.9,984887.2,1.65,0.156434,-0.987688,0,377.262
2026-03-13T11:25:00+00:00,JCT01_ARM_NORTH,JCT01,ARM_NORTH,NORMAL,107,36,0,0.0886,6.95,41639.0,1045908.2,1.55,0.152123,-0.988362,0,300.5048
2026-03-13T11:26:00+00:00,JCT01_ARM_NORTH,JCT01,ARM_NORTH,NORMAL,107,32,0,0.0901,7.65,51138.9,1149378.2,1.38,0.147809,-0.989016,0,336.0425
2026-03-13T11:27:00+00:00,JCT01_ARM_NORTH,JCT01,ARM_NORTH,NORMAL,107,42,0,0.1695,8.48,41911.3,967184.3,1.82,0.143493,-0.989651,0,132.9101
2026-03-13T11:28:00+00:00,JCT01_ARM_NORTH,JCT01,ARM_NORTH,NORMAL,107,33,0,0.1117,7.32,45391.3,1045908.2,1.54,0.139173,-0.990268,0,481.5346
2026-03-13T11:29:00+00:00,JCT01_ARM_NORTH,JCT01,ARM_NORTH,NORMAL,107,37,0,0.0856,7.99,46293.7,1026234.7,1.54,0.134851,-0.990866,0,186.9602
2026-03-13T11:30:00+00:00,JCT01_ARM_NORTH,JCT01,ARM_NORTH,NORMAL,107,46,0,0.0661,9.29,52340.7,1149378.2,1.72,0.130526,-0.991445,0,442.7373
2026-03-13T11:31:00+00:00,JCT01_ARM_NORTH,JCT01,ARM_NORTH,NORMAL,107,36,0,0.1039,6.66,44365.1,1149378.2,1.55,0.126199,-0.992005,0,272.2015
